line_number,committee_name,file_number,related_line_number,committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,recipient_prefix,recipient_suffix,beneficiary_committee_name,disbursement_type,disbursement_description,disbursement_date,disbursement_amount,semi_annual_bundled_refund,candidate_office,candidate_office_district,transaction_id,image_number,entity_type,amendment_indicator,memo_code,memo_text,back_reference_transaction_id,back_reference_schedule_name,load_timestamp
22,PFLUGER VICTORY COMMITTEE,1964586,188,C00753913,RAPTOR PAC,MIDLAND,TX,797044864,,,RAPTOR PAC,,TRANSFER OF JOINT FUNDRAISING PROCEEDS,2026-03-31,115400.76,,,,B97DE2FA10429492ABB6,202604159857672476,PAC,A,,,,,2026-04-15 14:16:04
22,PFLUGER VICTORY COMMITTEE,1964586,187,C00753913,NRCC,WASHINGTON,DC,20003,,,NRCC,,TRANSFER OF JOINT FUNDRAISING PROCEEDS,2026-03-31,980.72,,,,B54968FC4E8F34ED6BA1,202604159857672476,PTY,A,,,,,2026-04-15 14:16:04
22,PFLUGER VICTORY COMMITTEE,1964586,186,C00753913,NRCC,WASHINGTON,DC,20003,,,NRCC,,TRANSFER OF JOINT FUNDRAISING PROCEEDS,2026-03-17,132800.00,,,,B0D4A0D11D5AE4CC7A14,202604159857672475,PTY,A,,,,,2026-04-15 14:16:04
22,PFLUGER VICTORY COMMITTEE,1964586,185,C00753913,NRCC,WASHINGTON,DC,20003,,,NRCC,,TRANSFER OF JOINT FUNDRAISING PROCEEDS,2026-03-17,132900.00,,,,B241203658EAF4464A8A,202604159857672475,PTY,A,,,,,2026-04-15 14:16:04
22,PFLUGER VICTORY COMMITTEE,1964586,184,C00753913,NRCC,WASHINGTON,DC,20003,,,NRCC,,TRANSFER OF JOINT FUNDRAISING PROCEEDS,2026-03-17,44300.00,,,,B59F8712AD88444D7BF3,202604159857672475,PTY,A,,,,,2026-04-15 14:16:04
22,PFLUGER VICTORY COMMITTEE,1964586,183,C00753913,HOUSE CONSERVATIVES FUND,BETHESDA,MD,20824,,,HOUSE CONSERVATIVES FUND,,TRANSFER OF JOINT FUNDRAISING PROCEEDS,2026-03-31,11237.14,,,,BD432F82D010442A8A7C,202604159857672474,PAC,A,,,,,2026-04-15 14:16:04
22,PFLUGER VICTORY COMMITTEE,1964586,182,C00753913,AUGUST PFLUGER FOR CONGRESS,SAN ANGELO,TX,76902,,,AUGUST PFLUGER FOR CONGRESS,,TRANSFER OF JOINT FUNDRAISING PROCEEDS,2026-03-31,66728.95,,H,11,BD6AD255614A64CF9B92,202604159857672474,CCM,A,,,,,2026-04-15 14:16:04
22,PFLUGER VICTORY COMMITTEE,1964586,181,C00753913,AUGUST PFLUGER FOR CONGRESS,SAN ANGELO,TX,76902,,,AUGUST PFLUGER FOR CONGRESS,,TRANSFER OF JOINT FUNDRAISING PROCEEDS,2026-03-31,212134.97,,H,11,BB9658577350940EAA9B,202604159857672474,CCM,A,,,,,2026-04-15 14:16:04
21B,PFLUGER VICTORY COMMITTEE,1964586,180,C00753913,"HOOKS SOLUTIONS, LLC",WASHINGTON,DC,20003,,,,,FUNDRAISING CONSULTING,2026-03-02,4000.00,,,,B4693055C119D4E2CABE,202604159857672473,ORG,A,,,,,2026-04-15 14:16:04
21B,PFLUGER VICTORY COMMITTEE,1964586,179,C00753913,"HOOKS SOLUTIONS, LLC",WASHINGTON,DC,20003,,,,,FUNDRAISING CONSULTING,2026-02-03,4000.00,,,,B86D5BEFDC2BE4E5BA0F,202604159857672472,ORG,A,,,,,2026-04-15 14:16:04
21B,PFLUGER VICTORY COMMITTEE,1964586,178,C00753913,"HOOKS SOLUTIONS, LLC",WASHINGTON,DC,20003,,,,,FUNDRAISING CONSULTING,2026-01-05,4000.00,,,,B5E11EA0D5D9C4352942,202604159857672472,ORG,A,,,,,2026-04-15 14:16:04
21B,PFLUGER VICTORY COMMITTEE,1964586,177,C00753913,CFS COMPLIANCE,BETHESDA,MD,20824,,,,,E-MERCHANT FEES,2026-03-31,90.00,,,,B5FB8A0F2053943BC994,202604159857672472,ORG,A,,,,,2026-04-15 14:16:04
21B,PFLUGER VICTORY COMMITTEE,1964586,176,C00753913,CFS COMPLIANCE,BETHESDA,MD,20824,,,,,E-MERCHANT FEES,2026-03-25,5.00,,,,B78D2951E50A5496C9FB,202604159857672471,ORG,A,,,,,2026-04-15 14:16:04
21B,PFLUGER VICTORY COMMITTEE,1964586,175,C00753913,CFS COMPLIANCE,BETHESDA,MD,20824,,,,,E-MERCHANT FEES,2026-03-17,30.00,,,,BD0EE79790D374BDCB48,202604159857672471,ORG,A,,,,,2026-04-15 14:16:04
21B,PFLUGER VICTORY COMMITTEE,1964586,174,C00753913,CFS COMPLIANCE,BETHESDA,MD,20824,,,,,E-MERCHANT FEES,2026-03-10,165.00,,,,BB08AEA4C327C488B824,202604159857672471,ORG,A,,,,,2026-04-15 14:16:04
21B,PFLUGER VICTORY COMMITTEE,1964586,173,C00753913,CFS COMPLIANCE,BETHESDA,MD,20824,,,,,COMPLIANCE CONSULTING,2026-03-09,2000.00,,,,BCA5D4383C50B47BDAD1,202604159857672470,ORG,A,,,,,2026-04-15 14:16:04
21B,PFLUGER VICTORY COMMITTEE,1964586,172,C00753913,CFS COMPLIANCE,BETHESDA,MD,20824,,,,,E-MERCHANT FEES,2026-03-03,10.00,,,,B7D8E3C2C9BF343BCB17,202604159857672470,ORG,A,,,,,2026-04-15 14:16:04
21B,PFLUGER VICTORY COMMITTEE,1964586,171,C00753913,CFS COMPLIANCE,BETHESDA,MD,20824,,,,,COMPLIANCE CONSULTING,2026-02-26,197.24,,,,B213005593084409BA10,202604159857672470,ORG,A,,,,,2026-04-15 14:16:04
21B,PFLUGER VICTORY COMMITTEE,1964586,170,C00753913,CFS COMPLIANCE,BETHESDA,MD,20824,,,,,E-MERCHANT FEES,2026-02-19,5.00,,,,B6FF453D428FE45E8903,202604159857672469,ORG,A,,,,,2026-04-15 14:16:04
