line_number,committee_name,file_number,related_line_number,committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,recipient_prefix,recipient_suffix,beneficiary_committee_name,disbursement_type,disbursement_description,disbursement_date,disbursement_amount,semi_annual_bundled_refund,candidate_office,candidate_office_district,transaction_id,image_number,entity_type,amendment_indicator,memo_code,memo_text,back_reference_transaction_id,back_reference_schedule_name,load_timestamp
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,53,C00929711,"Zoom Communications, Inc.",San Jose,CA,95113,,,CLAIRE REYNOLDS FOR CONGRESS,,Web services,2026-03-11,188.63,,H,11,SB17.4785,202604179863155508,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,52,C00929711,Wyndham Midland Downtown,Midland,TX,79701,,,CLAIRE REYNOLDS FOR CONGRESS,,Travel expenses - hotel,2026-03-23,354.92,,H,11,SB17.4845,202604179863155508,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,51,C00929711,William Yarbrough,Austin,TX,78702,,,CLAIRE REYNOLDS FOR CONGRESS,,Campaign paraphrenalia (stickers),2026-03-13,319.26,,H,11,SB17.4862,202604179863155507,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,50,C00929711,The Growler Bar & Kitchen,Pflugerville,TX,78660,,,CLAIRE REYNOLDS FOR CONGRESS,,Food & beverage - volunteers,2026-03-03,557.58,,H,11,SB17.4822,202604179863155507,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,49,C00929711,RUN!,Middletown,DE,19709,,,CLAIRE REYNOLDS FOR CONGRESS,,Website services,2026-03-19,300.00,,H,11,SB17.4784,202604179863155507,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,48,C00929711,RUN!,Middletown,DE,19709,,,CLAIRE REYNOLDS FOR CONGRESS,,Website services,2026-02-19,300.00,,H,11,SB17.4783,202604179863155506,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,47,C00929711,Reynolds,Austin,TX,78720,,,CLAIRE REYNOLDS FOR CONGRESS,,Travel expense reimbursement - mileage,2026-03-30,290.16,,H,11,SB17.4809,202604179863155506,CAN,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,46,C00929711,Reynolds,Austin,TX,78720,,,CLAIRE REYNOLDS FOR CONGRESS,,Travel expense reimbursement - mileage,2026-03-30,450.72,,H,11,SB17.4808,202604179863155506,CAN,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,45,C00929711,Reynolds,Austin,TX,78720,,,CLAIRE REYNOLDS FOR CONGRESS,,Travel expense reimbursement - mileage,2026-03-09,458.64,,H,11,SB17.4807,202604179863155505,CAN,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,44,C00929711,Reynolds,Austin,TX,78720,,,CLAIRE REYNOLDS FOR CONGRESS,,Travel expense reimbursement - mileage,2026-02-19,288.00,,H,11,SB17.4787,202604179863155505,CAN,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,43,C00929711,PostalAnnex,Austin,TX,78727,,,CLAIRE REYNOLDS FOR CONGRESS,,Shipping costs,2026-02-14,198.78,,H,11,SB17.4781,202604179863155505,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,42,C00929711,Pi Social,Midland,TX,79701,,,CLAIRE REYNOLDS FOR CONGRESS,,Food & beverage - volunteers,2026-03-16,246.35,,H,11,SB17.4852,202604179863155504,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,41,C00929711,Paige Jordan,Fentress,TX,78622,,,CLAIRE REYNOLDS FOR CONGRESS,,Canvassing - literature drop,2026-02-19,762.58,,H,11,SB17.4864,202604179863155504,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,40,C00929711,Haywire,Austin,TX,78758,,,CLAIRE REYNOLDS FOR CONGRESS,,Food & beverage - volunteers,2026-03-08,241.80,,H,11,SB17.4821,202604179863155504,ORG,N,,,,,2026-04-17 10:48:25
17,CLAIRE REYNOLDS FOR CONGRESS,1968419,39,C00929711,Google,Mountain View,CA,94043,,,CLAIRE REYNOLDS FOR CONGRESS,,Web services,2026-03-31,47.33,,H,11,SB17.4786,202604179863155503,ORG,N,,,,,2026-04-17 10:48:25
