amendment_indicator,amendment_indicator_desc,back_reference_schedule_id,back_reference_transaction_id,beneficiary_committee_name,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_description,candidate_office_district,candidate_office_state,candidate_office_state_full,candidate_prefix,candidate_suffix,category_code,category_code_full,comm_dt,committee_id,conduit_committee_city,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,disbursement_amount,disbursement_date,disbursement_description,disbursement_purpose_category,disbursement_type,disbursement_type_description,election_type,election_type_full,entity_type,entity_type_desc,fec_election_type_desc,fec_election_year,file_number,filing_form,image_number,line_number,line_number_label,link_id,load_date,memo_code,memo_code_full,memo_text,memoed_subtotal,national_committee_nonfederal_account,original_sub_id,payee_employer,payee_first_name,payee_last_name,payee_middle_name,payee_occupation,payee_prefix,payee_suffix,pdf_url,recipient_city,recipient_committee_id,recipient_name,recipient_state,recipient_zip,ref_disp_excess_flg,report_type,report_year,schedule_type,schedule_type_full,semi_annual_bundled_refund,spender_committee_designation,spender_committee_org_type,spender_committee_type,sub_id,transaction_id,two_year_transaction_period,unused_recipient_committee_id
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,173.31,2026-06-30,FEES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852655,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852655,SOMERVILLE,,ACTBLUE,MA,02144,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740238,SB17.6021,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,344.26,2026-06-28,FEES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852655,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852655,SOMERVILLE,,ACTBLUE,MA,02144,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740237,SB17.6020,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,50.0,2026-06-22,WEBSITE SERVICES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852663,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852663,MIDDLETOWN,,RUN!,DE,19709,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740261,SB17.5980,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,175.89,2026-06-22,PHONE SERVICES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852661,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852661,LAGUNA BEACH,,"PHONEBURNER, INC.",CA,92651,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740255,SB17.6004,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,196.14,2026-06-21,FEES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852654,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852654,SOMERVILLE,,ACTBLUE,MA,02144,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740236,SB17.6019,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,128.38,2026-06-14,FEES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852654,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852654,SOMERVILLE,,ACTBLUE,MA,02144,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740235,SB17.6018,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,188.63,2026-06-12,WEB SERVICES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852664,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852664,SAN JOSE,,"ZOOM COMMUNICATIONS, INC.",CA,95113,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740265,SB17.5975,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,1119.3,2026-06-11,FUNDRAISING SERVICES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852656,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852656,AUSTIN,,BONTERRA - EVERYACTION,TX,78759,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740242,SB17.6042,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,1069.52,2026-06-10,PRINTING SERVICES,ADVERTISING,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852661,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852661,AUSTIN,,PRINTMAIL PRO,TX,78754,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740256,SB17.5996,2026,C00929711
N,NO CHANGE,,,CLAIRE REYNOLDS FOR CONGRESS,,,,,,H,HOUSE,11,TX,TEXAS,,,,,,C00929711,,,,,,,85.28,2026-06-10,WEB DESIGN SERVICES,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1998635,F3,202607169890852657,17,Operating Expenditures,4071720261534579001,2026-08-11T02:51:44,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607169890852657,AUSTIN,,"CANVA US, INC",TX,78702,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4081020261570740243,SB17.5981,2026,C00929711
