committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00929711,CLAIRE REYNOLDS FOR CONGRESS,2026,Q1,202604179863155497,F3,4041720261435987030,17,SB17.4872,1968419,ORG,ORGANIZATION,C00929711,,ACTBLUE,SOMERVILLE,MA,02144,CLAIRE REYNOLDS FOR CONGRESS,,,,SERVICE FEE,OTHER,,,,2026-03-03 00:00:00,0.32,H,HOUSE,11,,,,,,,,TX,TEXAS,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2026-05-22 02:51:41,4052120261511060884,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202604179863155497,Operating Expenditures,,,,,,,,,,,,,,,,,,H,,P
C00929711,CLAIRE REYNOLDS FOR CONGRESS,2026,12P,202602149834322618,F3,4021420261308639004,17,SB17.4525,1946585,ORG,ORGANIZATION,C00929711,,ACTBLUE,SOMERVILLE,MA,02144,CLAIRE REYNOLDS FOR CONGRESS,,,,SERVICE FEES,OTHER,,,,2026-02-11 00:00:00,0.35,H,HOUSE,11,,,,,,,,TX,TEXAS,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2026-03-13 02:51:40,4031220261421918570,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202602149834322618,Operating Expenditures,,,,,,,,,,,,,,,,,,H,,P
C00929711,CLAIRE REYNOLDS FOR CONGRESS,2025,YE,202601279794243818,F3,4012720261303685077,17,SB17.4375,1936261,ORG,ORGANIZATION,C00929711,,ACTBLUE,SOMERVILLE,MA,02144,CLAIRE REYNOLDS FOR CONGRESS,,,,SERVICE FEE,OTHER,,,,2025-12-28 00:00:00,2.63,H,HOUSE,11,,,,,,,,TX,TEXAS,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2026-01-30 02:36:01,4012920261304182678,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202601279794243818,Operating Expenditures,,,,,,,,,,,,,,,,,,H,,P
C00929711,CLAIRE REYNOLDS FOR CONGRESS,2026,12P,202602149834322616,F3,4021420261308639004,17,SB17.4531,1946585,ORG,ORGANIZATION,C00929711,,ACTBLUE,SOMERVILLE,MA,02144,CLAIRE REYNOLDS FOR CONGRESS,,,,SERVICE FEES,OTHER,,,,2026-01-04 00:00:00,3.50,H,HOUSE,11,,,,,,,,TX,TEXAS,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2026-03-13 02:51:40,4031220261421918564,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202602149834322616,Operating Expenditures,,,,,,,,,,,,,,,,,,H,,P
C00929711,CLAIRE REYNOLDS FOR CONGRESS,2025,YE,202601279794243820,F3,4012720261303685077,17,SB17.4367,1936261,ORG,ORGANIZATION,C00929711,,H-E-B,SAN ANTONIO,TX,78204,CLAIRE REYNOLDS FOR CONGRESS,,,,OFFICE SUPPLIES,ADMINISTRATIVE,X,,,2025-12-08 00:00:00,5.20,H,HOUSE,11,,,,,,,,TX,TEXAS,P2026,,PRIMARY,2026,2026,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2026-01-30 02:36:01,4012920261304182684,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202601279794243820,Operating Expenditures,,,,,,,,,,,,,,,,,,H,,P
C00929711,CLAIRE REYNOLDS FOR CONGRESS,2025,YE,202601279794243824,F3,4012720261303685077,17,SB17.4315,1936261,CAN,CANDIDATE,C00929711,,"REYNOLDS, CLAIRE ANNE",AUSTIN,TX,78720,CLAIRE REYNOLDS FOR CONGRESS,,,,IN-KIND - OFFICE SUPPLIES,ADMINISTRATIVE,X,,,2025-12-08 00:00:00,5.20,H,HOUSE,11,,,,,,,,TX,TEXAS,P2026,,PRIMARY,2026,2026,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2026-01-30 02:36:01,4012920261304182695,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202601279794243824,Operating Expenditures,REYNOLDS,CLAIRE,ANNE,,,,,,,,,,,,,,,H,,P
C00929711,CLAIRE REYNOLDS FOR CONGRESS,2025,YE,202601279794243820,F3,4012720261303685077,17,SB17.4360,1936261,ORG,ORGANIZATION,C00929711,,GANDI.NET,SAN FRANCISCO,CA,94108,CLAIRE REYNOLDS FOR CONGRESS,,,,DOMAIN REGISTRATION,OTHER,X,,,2025-12-03 00:00:00,6.99,H,HOUSE,11,,,,,,,,TX,TEXAS,P2026,,PRIMARY,2026,2026,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2026-01-30 02:36:01,4012920261304182683,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202601279794243820,Operating Expenditures,,,,,,,,,,,,,,,,,,H,,P
C00929711,CLAIRE REYNOLDS FOR CONGRESS,2025,YE,202601279794243822,F3,4012720261303685077,17,SB17.4335,1936261,CAN,CANDIDATE,,,"REYNOLDS, CLAIRE ANNE",AUSTIN,TX,78720,,,,,IN-KIND - DOMAIN REGISTRATION,OTHER,X,,,2025-12-03 00:00:00,6.99,H,HOUSE,11,H6TX11112,,,,,,,TX,TEXAS,P2026,,PRIMARY,2026,2026,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2026-01-30 02:36:01,4012920261304182691,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202601279794243822,Operating Expenditures,REYNOLDS,CLAIRE,ANNE,,,,,,,,,,,,,,,H,,P
C00929711,CLAIRE REYNOLDS FOR CONGRESS,2025,YE,202601279794243821,F3,4012720261303685077,17,SB17.4365,1936261,ORG,ORGANIZATION,C00929711,,ODESSA AMERICAN,ODESSA,TX,79761,CLAIRE REYNOLDS FOR CONGRESS,,,,NEWS SUBSCRIPTION,OTHER,X,,,2025-12-04 00:00:00,9.99,H,HOUSE,11,,,,,,,,TX,TEXAS,P2026,,PRIMARY,2026,2026,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2026-01-30 02:36:01,4012920261304182686,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202601279794243821,Operating Expenditures,,,,,,,,,,,,,,,,,,H,,P
C00929711,CLAIRE REYNOLDS FOR CONGRESS,2025,YE,202601279794243823,F3,4012720261303685077,17,SB17.4324,1936261,CAN,CANDIDATE,,,"REYNOLDS, CLAIRE ANNE",AUSTIN,TX,78720,,,,,IN-KIND - NEWS SUBSCRIPTION,OTHER,X,,,2025-12-04 00:00:00,9.99,H,HOUSE,11,H6TX11112,,,,,,,TX,TEXAS,P2026,,PRIMARY,2026,2026,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2026-01-30 02:36:01,4012920261304182692,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202601279794243823,Operating Expenditures,REYNOLDS,CLAIRE,ANNE,,,,,,,,,,,,,,,H,,P
