amendment_indicator,amendment_indicator_desc,back_reference_schedule_id,back_reference_transaction_id,beneficiary_committee_name,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_description,candidate_office_district,candidate_office_state,candidate_office_state_full,candidate_prefix,candidate_suffix,category_code,category_code_full,comm_dt,committee_id,conduit_committee_city,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,disbursement_amount,disbursement_date,disbursement_description,disbursement_purpose_category,disbursement_type,disbursement_type_description,election_type,election_type_full,entity_type,entity_type_desc,fec_election_type_desc,fec_election_year,file_number,filing_form,image_number,line_number,line_number_label,link_id,load_date,memo_code,memo_code_full,memo_text,memoed_subtotal,national_committee_nonfederal_account,original_sub_id,payee_employer,payee_first_name,payee_last_name,payee_middle_name,payee_occupation,payee_prefix,payee_suffix,pdf_url,recipient_city,recipient_committee_id,recipient_name,recipient_state,recipient_zip,ref_disp_excess_flg,report_type,report_year,schedule_type,schedule_type_full,semi_annual_bundled_refund,spender_committee_designation,spender_committee_org_type,spender_committee_type,sub_id,transaction_id,two_year_transaction_period,unused_recipient_committee_id
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,21.59,2026-03-19,FACEBOOK ADVRTISING,OTHER,,,R2026,RUNOFF,ORG,ORGANIZATION,RUNOFF,2026,1967487,F3,202604159863085428,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085428,MENLO PARK,,META PLATFORMS,CA,94025,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981121,SB17.4250,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,215.0,2026-03-02,FACEBOOK ADVRTISING,OTHER,,,R2026,RUNOFF,ORG,ORGANIZATION,RUNOFF,2026,1967487,F3,202604159863085428,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085428,MENLO PARK,,META PLATFORMS,CA,94025,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981120,SB17.4249,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,215.0,2026-03-02,FACEBOOK ADVRTISING,OTHER,,,R2026,RUNOFF,ORG,ORGANIZATION,RUNOFF,2026,1967487,F3,202604159863085428,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085428,MENLO PARK,,META PLATFORMS,CA,94025,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981119,SB17.4248,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,215.0,2026-02-28,FACEBOOK ADVRTISING,OTHER,,,R2026,RUNOFF,ORG,ORGANIZATION,RUNOFF,2026,1967487,F3,202604159863085427,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085427,MENLO PARK,,META PLATFORMS,CA,94025,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981118,SB17.4245,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,408.49,2026-02-27,PRINT MEDIA ADVERTISING,ADVERTISING,,,R2026,RUNOFF,ORG,ORGANIZATION,RUNOFF,2026,1967487,F3,202604159863085424,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085424,AUSTIN,,AMERICAN PRINTING AND MAILING,TX,78754,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981109,SB17.4255,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,002,Travel Expenses,,C00934547,,,,,,,9.46,2026-02-24,TRAVEL EXPENSES,MATERIALS,,,R2026,RUNOFF,CAN,CANDIDATE,RUNOFF,2026,1967487,F3,202604159863085429,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,CASEY,SHEPARD,,,MR.,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085429,WACO,,"SHEPARD, CASEY MR.",TX,76712,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981122,SB17.4256,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,81.0,2026-02-23,FACEBOOK ADVRTISING,OTHER,,,R2026,RUNOFF,ORG,ORGANIZATION,RUNOFF,2026,1967487,F3,202604159863085427,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085427,MENLO PARK,,META PLATFORMS,CA,94025,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981117,SB17.4244,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,,,,C00934547,,,,,,,81.0,2026-02-23,FACEBOOK ADVRTISING,OTHER,,,R2026,RUNOFF,ORG,ORGANIZATION,RUNOFF,2026,1967487,F3,202604159863085427,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085427,MENLO PARK,,META PLATFORMS,CA,94025,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981116,SB17.4242,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,81.0,2026-02-20,FACEBOOK ADVRTISING,OTHER,,,R2026,RUNOFF,ORG,ORGANIZATION,RUNOFF,2026,1967487,F3,202604159863085426,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085426,MENLO PARK,,META PLATFORMS,CA,94025,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981115,SB17.4243,2026,C00934547
A,ADD,,,CASEY SHEPARD FOR CONGRESS,,,,,,H,HOUSE,17,TX,TEXAS,,,004,Advertising Expenses ,,C00934547,,,,,,,1939.52,2026-02-20,PRINT MEDIA ADRVERTISING,ADVERTISING,,,R2026,RUNOFF,ORG,ORGANIZATION,RUNOFF,2026,1967487,F3,202604159863085424,17,Operating Expenditures,4041620261435907321,2026-04-17T02:51:45,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202604159863085424,AUSTIN,,AMERICAN PRINTING AND MAILING,TX,78754,,Q1,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4041620261435981108,SB17.4254,2026,C00934547
