amendment_indicator,amendment_indicator_desc,back_reference_schedule_id,back_reference_transaction_id,beneficiary_committee_name,candidate_first_name,candidate_id,candidate_last_name,candidate_middle_name,candidate_name,candidate_office,candidate_office_description,candidate_office_district,candidate_office_state,candidate_office_state_full,candidate_prefix,candidate_suffix,category_code,category_code_full,comm_dt,committee_id,conduit_committee_city,conduit_committee_name,conduit_committee_state,conduit_committee_street1,conduit_committee_street2,conduit_committee_zip,disbursement_amount,disbursement_date,disbursement_description,disbursement_purpose_category,disbursement_type,disbursement_type_description,election_type,election_type_full,entity_type,entity_type_desc,fec_election_type_desc,fec_election_year,file_number,filing_form,image_number,line_number,line_number_label,link_id,load_date,memo_code,memo_code_full,memo_text,memoed_subtotal,national_committee_nonfederal_account,original_sub_id,payee_employer,payee_first_name,payee_last_name,payee_middle_name,payee_occupation,payee_prefix,payee_suffix,pdf_url,recipient_city,recipient_committee_id,recipient_name,recipient_state,recipient_zip,ref_disp_excess_flg,report_type,report_year,schedule_type,schedule_type_full,semi_annual_bundled_refund,spender_committee_designation,spender_committee_org_type,spender_committee_type,sub_id,transaction_id,two_year_transaction_period,unused_recipient_committee_id
A,ADD,,,,,,,,,,,,,,,,003,Solicitation and Fundraising Expenses ,,C00303305,,,,,,,1572.64,2026-06-30,PROCESSING FEE,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1994233,F3,202607159875242661,17,Operating Expenditures,4071520261534060468,2026-08-06T04:06:36,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875242661,BATON ROUGE,,ANEDOT,LA,708844314,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4080520261570241044,B9612B613D371493686B,2026,
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,C00303305,,,,,,,174.63,2026-06-22,REIMB: SEE BELOW,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1994233,F3,202607159875242661,17,Operating Expenditures,4071520261534060468,2026-08-06T04:06:36,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875242661,THE LAKES,,CITIBANK MASTERCARD,NV,889016417,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4080520261570241042,BBB3E2FC66028469FB8B,2026,
A,ADD,SB17,BBBAE10575F6642DD86A,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,C00303305,,,,,,,91.95,2026-06-19,SOFTWARE SUPPORT,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1994233,F3,202607159875242660,17,Operating Expenditures,4071520261534060468,2026-08-06T04:06:36,X,,,true,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875242660,WASHINGTON,,"ARISTOTLE INTERNATIONAL, INC.",DC,200031164,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4080520261570241041,BDA7D7812F6904913930,2026,
A,ADD,SB17,BBBAE10575F6642DD86A,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,C00303305,,,,,,,242.0,2026-06-19,CAMPAIGN STORAGE,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1994233,F3,202607159875242660,17,Operating Expenditures,4071520261534060468,2026-08-06T04:06:36,X,,,true,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875242660,WACO,,IDEAL SELF STORAGE,TX,767104800,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4080520261570241039,B526DD06174EF444D9BB,2026,
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,C00303305,,,,,,,2864.83,2026-06-19,REIMB: SEE BELOW,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1994233,F3,202607159875242659,17,Operating Expenditures,4071520261534060468,2026-08-06T04:06:36,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875242659,DALLAS,,AMERICAN EXPRESS,TX,752650448,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4080520261570241036,BBBAE10575F6642DD86A,2026,
A,ADD,,,KEN CALVERT FOR CONGRESS COMMITTEE,KEN,H2CA37023,CALVERT,,"CALVERT, KEN",H,HOUSE,41,CA,CALIFORNIA,,,011,Political Contributions,,C00303305,,,,,,,2000.0,2026-06-17,POLITICAL CONTRIBUTION,CONTRIBUTIONS,24K,CONTRIBUTION MADE TO NON-AFFILIATED,G2026,,CCM,CAMPAIGN COMMITTEE,GENERAL,2026,1994233,F3,202607159875242663,21,Other Disbursements,4071520261534060468,2026-08-06T04:06:36,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875242663,CORONA,C00257337,KEN CALVERT FOR CONGRESS COMMITTEE,CA,928782438,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4080520261570241049,BC46C14AC00B643FC847,2026,C00257337
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,C00303305,,,,,,,2000.0,2026-06-16,PAYROLL,OTHER,,,G2026,,IND,INDIVIDUAL,GENERAL,2026,1994233,F3,202607159875242658,17,Operating Expenditures,4071520261534060468,2026-08-06T04:06:36,,,,false,,,,JEZIAH,CHERIAN,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875242658,LORENA,,"CHERIAN, JEZIAH",TX,76655,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4080520261570241035,B6A32D0C75A4842EE8C1,2026,
A,ADD,,,,,,,,,,,,,,,,003,Solicitation and Fundraising Expenses ,,C00303305,,,,,,,3000.0,2026-06-15,CONSULTING: FUNDRAISING,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1994233,F3,202607159875242658,17,Operating Expenditures,4071520261534060468,2026-08-06T04:06:36,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875242658,ALEXANDRIA,,THE STANTON GROUP,VA,223051736,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4080520261570241034,B012E5B523F294D5B803,2026,
A,ADD,,,MILLER-MEEKS FOR CONGRESS,MARIANNETTE,H8IA02043,MILLER-MEEKS,JANE,"MILLER-MEEKS, MARIANNETTE JANE",H,HOUSE,01,IA,IOWA,,,011,Political Contributions,,C00303305,,,,,,,2000.0,2026-06-10,POLITICAL CONTRIBUTION,CONTRIBUTIONS,24K,CONTRIBUTION MADE TO NON-AFFILIATED,G2026,,CCM,CAMPAIGN COMMITTEE,GENERAL,2026,1994233,F3,202607159875242663,21,Other Disbursements,4071520261534060468,2026-08-06T04:06:36,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875242663,OTTUMWA,C00558825,MILLER-MEEKS FOR CONGRESS,IA,525010033,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4080520261570241048,BCFF2534A1DEA45E2970,2026,C00558825
A,ADD,,,,,,,,,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,C00303305,,,,,,,2000.0,2026-06-09,VETERANS DAY CELEBRATION,OTHER,,,G2026,,ORG,ORGANIZATION,GENERAL,2026,1994233,F3,202607159875242658,17,Operating Expenditures,4071520261534060468,2026-08-06T04:06:36,,,,false,,,,,,,,,,https://docquery.fec.gov/cgi-bin/fecimg/?202607159875242658,WACO,,MCLENNAN COUNTY REPUBLICAN WOMEN'S CLUB,TX,767012241,,Q2,2026,SB,ITEMIZED DISBURSEMENTS,0.00,P,,H,4080520261570241033,B4CCADA7305A34F9E9DF,2026,
