committee_id,committee_name,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,disbursement_purpose_category,memo_code,memo_code_full,memo_text,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,two_year_transaction_period,amendment_indicator,amendment_indicator_desc,schedule_type,schedule_type_full,load_date,sub_id,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,pdf_url,line_number_label,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_employer,payee_occupation,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,ref_disp_excess_flg,comm_dt,spender_committee_type,spender_committee_org_type,spender_committee_designation
C00371203,JOHN CARTER FOR CONGRESS,2026,Q1,202607029874734731,F3,4070220261523444018,17,0038824-0082,1987494,ORG,ORGANIZATION,,,CHASE - CARD MEMBER SERVICES,CAROL STREAM,IL,601976294,,,,,CLEAR CC PREPAYMENT,OTHER,X,,MEMO,2026-03-02 00:00:00,-20000.00,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,N,NO CHANGE,SB,ITEMIZED DISBURSEMENTS,2026-07-17 02:51:52,4071620261534569589,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202607029874734731,Operating Expenditures,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,,,H,,P
C00371203,JOHN CARTER FOR CONGRESS,2025,Q2,202507159763362239,F3,4071520251208390860,17,0038448-0053,1902766,ORG,ORGANIZATION,,,CHASE - CARD MEMBER SERVICES,CAROL STREAM,IL,601976294,,,,,CLEAR CC PAYMENT,OTHER,X,,MEMO,2025-04-23 00:00:00,-15000.00,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-08-12 03:35:56,4081120251215845519,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202507159763362239,Operating Expenditures,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,,,H,"",P
C00371203,JOHN CARTER FOR CONGRESS,2026,12P,202602199834771012,F3,4021920261309029076,20C,0038687,1948069,PAC,POLITICAL ACTION COMMITTEE,C00411116,C00411116,SPACE EXPLORATION TECHNOLOGIES CORP PAC,WASHINGTON,DC,20004,SPACE EXPLORATION TECHNOLOGIES CORP PAC,,22Z,CONTRIBUTION REFUND TO CANDIDATE/COMMITTEE,REFUND OF EXCESS. CONT. 12/23/25,REFUNDS,,,,2026-01-01 00:00:00,-5000.00,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2026-03-15 02:51:32,4031420261423432744,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202602199834771012,Refunds of Contributions to Other Political Committees,,,,,,,,010,Refunds of Contributions,,,,,,,,,H,,P
C00371203,JOHN CARTER FOR CONGRESS,2025,Q3,202510159791483074,F3,4101520251292820214,17,0038481-0002,1921305,ORG,ORGANIZATION,,,PGA TOUR SUPERSTORE,AUSTIN,TX,78759,,,,,REFUND: EVENT - SUPPLIES,OTHER,X,,MEMO,2025-07-14 00:00:00,-4537.11,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-12-16 02:35:57,4121520251298750025,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202510159791483074,Operating Expenditures,,,,,,,,003,Solicitation and Fundraising Expenses ,,,,,,,,,H,,P
C00371203,JOHN CARTER FOR CONGRESS,2025,Q2,202507159763362249,F3,4071520251208390860,17,0038448-0094,1902766,ORG,ORGANIZATION,,,CHASE - CARD MEMBER SERVICES,CAROL STREAM,IL,601976294,,,,,CLEAR CC PREPAYMENT,OTHER,X,,MEMO,2025-04-23 00:00:00,-2000.00,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-08-12 03:35:56,4081120251215845550,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202507159763362249,Operating Expenditures,,,,,,,,001,Administrative/Salary/Overhead Expenses ,,,,,,,,,H,"",P
C00371203,JOHN CARTER FOR CONGRESS,2025,Q1,202504159755641698,F3,4041520251184156746,17,0038309-0005,1887459,ORG,ORGANIZATION,,,ENTERPRISE RENT A CAR,ROUND ROCK,TX,786642144,,,,,REFUND:TRAVEL - CAR RENTAL,ADMINISTRATIVE,X,,MEMO,2025-01-16 00:00:00,-1058.73,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-04-25 03:36:35,4042420251186636205,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202504159755641698,Operating Expenditures,,,,,,,,002,Travel Expenses,,,,,,,,,H,"",P
C00371203,JOHN CARTER FOR CONGRESS,2026,12P,202602199834770970,F3,4021920261309029076,17,0038649-0003,1948069,ORG,ORGANIZATION,,,SOUTHWEST AIRLINE,DALLAS,TX,752352852,,,,,REFUND: TRAVEL - AIRFARE,OTHER,X,,MEMO,2026-01-05 00:00:00,-909.38,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2026-03-15 02:51:32,4031420261423432620,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202602199834770970,Operating Expenditures,,,,,,,,002,Travel Expenses,,,,,,,,,H,,P
C00371203,JOHN CARTER FOR CONGRESS,2025,Q3,202510159791483061,F3,4101520251292820214,17,0038480-0111,1921305,ORG,ORGANIZATION,,,CAPITOL HILL CLUB,WASHINGTON,DC,200031801,,,,,REFUND: MEETING - FOOD & BEVERAGE,OTHER,X,,MEMO,2025-07-09 00:00:00,-750.00,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-12-16 02:35:57,4121520251298749988,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202510159791483061,Operating Expenditures,,,,,,,,007,Campaign Event Expenses,,,,,,,,,H,,P
C00371203,JOHN CARTER FOR CONGRESS,2025,YE,202601309794990174,F3,4013020261304199405,17,0038549-0013,1940243,ORG,ORGANIZATION,,,SOUTHWEST AIRLINE,DALLAS,TX,752352852,,,,,REFUND: TRAVEL - AIRFARE,OTHER,X,,MEMO,2025-11-12 00:00:00,-608.96,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2026-03-07 02:35:52,4030620261411505187,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202601309794990174,Operating Expenditures,,,,,,,,002,Travel Expenses,,,,,,,,,H,,P
C00371203,JOHN CARTER FOR CONGRESS,2025,Q3,202510159791483044,F3,4101520251292820214,17,0038480-0040,1921305,ORG,ORGANIZATION,,,SOUTHWEST AIRLINE,DALLAS,TX,752352852,,,,,REFUND:TRAVEL - AIRFARE,OTHER,X,,MEMO,2025-07-09 00:00:00,-578.48,,,,,,,,,,,,,P2026,,PRIMARY,2026,2026,A,ADD,SB,ITEMIZED DISBURSEMENTS,2025-12-16 02:35:57,4121520251298749935,,,,0.00,https://docquery.fec.gov/cgi-bin/fecimg/?202510159791483044,Operating Expenditures,,,,,,,,002,Travel Expenses,,,,,,,,,H,,P
