line_number,committee_name,file_number,related_line_number,committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,recipient_prefix,recipient_suffix,beneficiary_committee_name,disbursement_type,disbursement_description,disbursement_date,disbursement_amount,semi_annual_bundled_refund,candidate_office,candidate_office_district,transaction_id,image_number,entity_type,amendment_indicator,memo_code,memo_text,back_reference_transaction_id,back_reference_schedule_name,load_timestamp
17,LAUREN4TEXAS,1974019,46,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-05-06,6.40,,H,37,SB17.19436,202605119866916043,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,45,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-05-05,2.20,,H,37,SB17.19195,202605119866916043,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,44,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-05-04,2.89,,H,37,SB17.19194,202605119866916043,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,43,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-05-01,0.20,,H,37,SB17.19193,202605119866916042,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,42,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-30,95.63,,H,37,SB17.19192,202605119866916042,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,41,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-23,1.93,,H,37,SB17.19190,202605119866916042,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,40,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-22,5.94,,H,37,SB17.19189,202605119866916041,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,39,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-21,5.90,,H,37,SB17.19188,202605119866916041,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,38,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-20,1.02,,H,37,SB17.19186,202605119866916041,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,37,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-17,34.33,,H,37,SB17.19185,202605119866916040,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,36,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-16,0.98,,H,37,SB17.19184,202605119866916040,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,35,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-15,18.54,,H,37,SB17.19183,202605119866916040,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,34,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-14,1.16,,H,37,SB17.19182,202605119866916039,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,33,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-13,7.96,,H,37,SB17.19181,202605119866916039,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,32,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-10,4.91,,H,37,SB17.19180,202605119866916039,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,31,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-09,1.77,,H,37,SB17.19179,202605119866916038,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,30,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-08,10.56,,H,37,SB17.19178,202605119866916038,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,29,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-07,3.74,,H,37,SB17.19177,202605119866916038,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,28,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-06,1.95,,H,37,SB17.19176,202605119866916037,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,27,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-03,2.42,,H,37,SB17.19174,202605119866916037,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,26,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-02,1.18,,H,37,SB17.19173,202605119866916037,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,25,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-01,8.56,,H,37,SB17.19172,202605119866916036,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,24,C00906149,"i77 Strategies, LLC.",Roanoke,VA,24018,,,LAUREN4TEXAS,,General Campaign Consulting,2026-04-20,1500.00,,H,37,SB17.19187,202605119866916036,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1974019,23,C00906149,"Frontline Strategies, LLC.",Elgin,IL,60123,,,LAUREN4TEXAS,,Fundraising Fee,2026-04-01,30.00,,H,37,SB17.19171,202605119866916036,ORG,A,,,,,2026-05-11 12:28:49
17,LAUREN4TEXAS,1958104,82,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-27,1.12,,H,37,SB17.17875,202604069856985408,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,81,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-26,1.72,,H,37,SB17.17873,202604069856985407,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,80,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-25,3.96,,H,37,SB17.17872,202604069856985407,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,79,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-24,1.53,,H,37,SB17.17871,202604069856985407,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,78,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-23,18.32,,H,37,SB17.17870,202604069856985406,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,77,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-20,5.11,,H,37,SB17.17868,202604069856985406,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,76,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-19,7.13,,H,37,SB17.17867,202604069856985406,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,75,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-18,29.53,,H,37,SB17.17865,202604069856985405,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,74,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-17,2.88,,H,37,SB17.17864,202604069856985405,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,73,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-16,5.60,,H,37,SB17.17863,202604069856985405,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,72,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-13,6.22,,H,37,SB17.17862,202604069856985404,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,71,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-12,1.36,,H,37,SB17.17861,202604069856985404,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,70,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-11,50.49,,H,37,SB17.17860,202604069856985404,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,69,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-10,11.78,,H,37,SB17.17857,202604069856985403,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,68,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-09,8.94,,H,37,SB17.17854,202604069856985403,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,67,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-06,8.63,,H,37,SB17.17852,202604069856985403,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,66,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-05,9.53,,H,37,SB17.17849,202604069856985402,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,65,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-04,74.26,,H,37,SB17.17847,202604069856985402,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,64,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-03,1.65,,H,37,SB17.17845,202604069856985402,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,63,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-03-02,4.23,,H,37,SB17.17843,202604069856985401,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,62,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-02-27,2.53,,H,37,SB17.17841,202604069856985401,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,61,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-02-26,15.50,,H,37,SB17.17837,202604069856985401,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,60,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-02-25,14.40,,H,37,SB17.17833,202604069856985400,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,59,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-02-24,1.81,,H,37,SB17.17831,202604069856985400,ORG,A,,,,,2026-04-06 12:28:39
17,LAUREN4TEXAS,1958104,58,C00906149,WinRed,Arlington,VA,22209,,,LAUREN4TEXAS,,Fundraising Fee,2026-02-23,10.88,,H,37,SB17.17828,202604069856985400,ORG,A,,,,,2026-04-06 12:28:39
